거만: ㄱㅓㅁㅏㄴ
거명: ㄱㅓㅁㅕㅇ
거목: ㄱㅓㅁㅗㄱ
거물: ㄱㅓㅁㅜㄹ
거봉: ㄱㅓㅂㅗㅇ
거북: ㄱㅓㅂㅜㄱ
거상: ㄱㅓㅅㅏㅇ
거성: ㄱㅓㅅㅓㅇ
거세: ㄱㅓㅅㅓㅣ
거실: ㄱㅓㅅㅣㄹ
거역: ㄱㅓㅇㅕㄱ
거울: ㄱㅓㅇㅜㄹ
거웃: ㄱㅓㅇㅜㅅ
거위: ㄱㅓㅇㅜㅣ
거의: ㄱㅓㅇㅡㅣ
거인: ㄱㅓㅇㅣㄴ
거장: ㄱㅓㅈㅏㅇ
거적: ㄱㅓㅈㅓㄱ
거절: ㄱㅓㅈㅓㄹ
거점: ㄱㅓㅈㅓㅁ
거죽: ㄱㅓㅈㅜㄱ
거짓: ㄱㅓㅈㅣㅅ
거취: ㄱㅓㅊㅜㅣ
거품: ㄱㅓㅍㅜㅁ
건기: ㄱㅓㄴㄱㅣ
건너: ㄱㅓㄴㄴㅓ
건사: ㄱㅓㄴㅅㅏ
건수: ㄱㅓㄴㅅㅜ
건아: ㄱㅓㄴㅇㅏ
건조: ㄱㅓㄴㅈㅗ
건초: ㄱㅓㄴㅊㅗ
건투: ㄱㅓㄴㅌㅜ
걷기: ㄱㅓㄷㄱㅣ
검거: ㄱㅓㅁㄱㅓ
검도: ㄱㅓㅁㄷㅗ
검무: ㄱㅓㅁㅁㅜ
검사: ㄱㅓㅁㅅㅏ
검소: ㄱㅓㅁㅅㅗ
검시: ㄱㅓㅁㅅㅣ
검지: ㄱㅓㅁㅈㅣ
검토: ㄱㅓㅁㅌㅗ
검표: ㄱㅓㅁㅍㅛ
겁보: ㄱㅓㅂㅂㅗ
게시: ㄱㅓㅣㅅㅣ
겨냥: ㄱㅕㄴㅑㅇ
겨레: ㄱㅕㄹㅓㅣ
겨룸: ㄱㅕㄹㅜㅁ
겨울: ㄱㅕㅇㅜㄹ
격노: ㄱㅕㄱㄴㅗ
격려: ㄱㅕㄱㄹㅕ
격리: ㄱㅕㄱㄹㅣ
격무: ㄱㅕㄱㅁㅜ
격자: ㄱㅕㄱㅈㅏ
격조: ㄱㅕㄱㅈㅗ
격주: ㄱㅕㄱㅈㅜ
격차: ㄱㅕㄱㅊㅏ
격추: ㄱㅕㄱㅊㅜ
격투: ㄱㅕㄱㅌㅜ
격파: ㄱㅕㄱㅍㅏ
격하: ㄱㅕㄱㅎㅏ
견사: ㄱㅕㄴㅅㅏ
견우: ㄱㅕㄴㅇㅜ
견지: ㄱㅕㄴㅈㅣ
결구: ㄱㅕㄹㄱㅜ
결사: ㄱㅕㄹㅅㅏ
결여: ㄱㅕㄹㅇㅕ
결투: ㄱㅕㄹㅌㅜ
겸비: ㄱㅕㅁㅂㅣ
겸사: ㄱㅕㅁㅅㅏ
겸허: ㄱㅕㅁㅎㅓ
경고: ㄱㅕㅇㄱㅗ
경구: ㄱㅕㅇㄱㅜ
경기: ㄱㅕㅇㄱㅣ
경도: ㄱㅕㅇㄷㅗ
경로: ㄱㅕㅇㄹㅗ
경리: ㄱㅕㅇㄹㅣ
경마: ㄱㅕㅇㅁㅏ
경보: ㄱㅕㅇㅂㅗ
경비: ㄱㅕㅇㅂㅣ
경사: ㄱㅕㅇㅅㅏ
경서: ㄱㅕㅇㅅㅓ
경시: ㄱㅕㅇㅅㅣ
경어: ㄱㅕㅇㅇㅓ
경우: ㄱㅕㅇㅇㅜ
경유: ㄱㅕㅇㅇㅠ
경이: ㄱㅕㅇㅇㅣ
경조: ㄱㅕㅇㅈㅗ
경주: ㄱㅕㅇㅈㅜ
경지: ㄱㅕㅇㅈㅣ
경차: ㄱㅕㅇㅊㅏ
경추: ㄱㅕㅇㅊㅜ
경치: ㄱㅕㅇㅊㅣ
경호: ㄱㅕㅇㅎㅗ
계교: ㄱㅕㅣㄱㅛ
계기: ㄱㅕㅣㄱㅣ
계도: ㄱㅕㅣㄷㅗ
계모: ㄱㅕㅣㅁㅗ
계보: ㄱㅕㅣㅂㅗ
계부: ㄱㅕㅣㅂㅜ
계수: ㄱㅕㅣㅅㅜ
계시: ㄱㅕㅣㅅㅣ
계주: ㄱㅕㅣㅈㅜ
계파: ㄱㅕㅣㅍㅏ
계피: ㄱㅕㅣㅍㅣ
고갈: ㄱㅗㄱㅏㄹ
고개: ㄱㅗㄱㅏㅣ
고견: ㄱㅗㄱㅕㄴ
고공: ㄱㅗㄱㅗㅇ
고국: ㄱㅗㄱㅜㄱ
고궁: ㄱㅗㄱㅜㅇ
고귀: ㄱㅗㄱㅜㅣ
고금: ㄱㅗㄱㅡㅁ
고급: ㄱㅗㄱㅡㅂ
고난: ㄱㅗㄴㅏㄴ
고뇌: ㄱㅗㄴㅗㅣ
고담: ㄱㅗㄷㅏㅁ
고대: ㄱㅗㄷㅏㅣ
고독: ㄱㅗㄷㅗㄱ
고동: ㄱㅗㄷㅗㅇ
고둥: ㄱㅗㄷㅜㅇ
고등: ㄱㅗㄷㅡㅇ
고딕: ㄱㅗㄷㅣㄱ
고락: ㄱㅗㄹㅏㄱ
고랑: ㄱㅗㄹㅏㅇ
고래: ㄱㅗㄹㅏㅣ
고령: ㄱㅗㄹㅕㅇ
고름: ㄱㅗㄹㅡㅁ
고립: ㄱㅗㄹㅣㅂ
고막: ㄱㅗㅁㅏㄱ
고명: ㄱㅗㅁㅕㅇ
고목: ㄱㅗㅁㅗㄱ
고문: ㄱㅗㅁㅜㄴ
고물: ㄱㅗㅁㅜㄹ
고민: ㄱㅗㅁㅣㄴ
고발: ㄱㅗㅂㅏㄹ
고배: ㄱㅗㅂㅏㅣ
고별: ㄱㅗㅂㅕㄹ
고봉: ㄱㅗㅂㅗㅇ
고분: ㄱㅗㅂㅜㄴ
고삐: ㄱㅗㅂㅂㅣ
고산: ㄱㅗㅅㅏㄴ
고새: ㄱㅗㅅㅏㅣ
고성: ㄱㅗㅅㅓㅇ
고속: ㄱㅗㅅㅗㄱ
고승: ㄱㅗㅅㅡㅇ
고심: ㄱㅗㅅㅣㅁ
고안: ㄱㅗㅇㅏㄴ
고압: ㄱㅗㅇㅏㅂ
고약: ㄱㅗㅇㅑㄱ
고양: ㄱㅗㅇㅑㅇ
고역: ㄱㅗㅇㅕㄱ
고열: ㄱㅗㅇㅕㄹ
고온: ㄱㅗㅇㅗㄴ
고용: ㄱㅗㅇㅛㅇ
고위: ㄱㅗㅇㅜㅣ
