무더기: ㅁㅜㄷㅓㄱㅣ
무리수: ㅁㅜㄹㅣㅅㅜ
무보수: ㅁㅜㅂㅗㅅㅜ
무사고: ㅁㅜㅅㅏㄱㅗ
무서리: ㅁㅜㅅㅓㄹㅣ
무소유: ㅁㅜㅅㅗㅇㅠ
무이자: ㅁㅜㅇㅣㅈㅏ
무자비: ㅁㅜㅈㅏㅂㅣ
무허가: ㅁㅜㅎㅓㄱㅏ
미나리: ㅁㅣㄴㅏㄹㅣ
미니카: ㅁㅣㄴㅣㅋㅏ
미디어: ㅁㅣㄷㅣㅇㅓ
미스터: ㅁㅣㅅㅡㅌㅓ
미시즈: ㅁㅣㅅㅣㅈㅡ
미이라: ㅁㅣㅇㅣㄹㅏ
미지수: ㅁㅣㅈㅣㅅㅜ
미터기: ㅁㅣㅌㅓㄱㅣ
미투리: ㅁㅣㅌㅜㄹㅣ
바가지: ㅂㅏㄱㅏㅈㅣ
바구니: ㅂㅏㄱㅜㄴㅣ
바나나: ㅂㅏㄴㅏㄴㅏ
바로크: ㅂㅏㄹㅗㅋㅡ
바바리: ㅂㅏㅂㅏㄹㅣ
바비큐: ㅂㅏㅂㅣㅋㅠ
바이어: ㅂㅏㅇㅣㅇㅓ
바코드: ㅂㅏㅋㅗㄷㅡ
보고서: ㅂㅗㄱㅗㅅㅓ
보너스: ㅂㅗㄴㅓㅅㅡ
보드카: ㅂㅗㄷㅡㅋㅏ
보리차: ㅂㅗㄹㅣㅊㅏ
보수파: ㅂㅗㅅㅜㅍㅏ
보시기: ㅂㅗㅅㅣㄱㅣ
보유고: ㅂㅗㅇㅠㄱㅗ
보유자: ㅂㅗㅇㅠㅈㅏ
보자기: ㅂㅗㅈㅏㄱㅣ
보조사: ㅂㅗㅈㅗㅅㅏ
보호자: ㅂㅗㅎㅗㅈㅏ
부교수: ㅂㅜㄱㅛㅅㅜ
부녀자: ㅂㅜㄴㅕㅈㅏ
부사어: ㅂㅜㅅㅏㅇㅓ
부자유: ㅂㅜㅈㅏㅇㅠ
부조리: ㅂㅜㅈㅗㄹㅣ
브로치: ㅂㅡㄹㅗㅊㅣ
비디오: ㅂㅣㄷㅣㅇㅗ
비수기: ㅂㅣㅅㅜㄱㅣ
비주류: ㅂㅣㅈㅜㄹㅠ
비키니: ㅂㅣㅋㅣㄴㅣ
사거리: ㅅㅏㄱㅓㄹㅣ
사나이: ㅅㅏㄴㅏㅇㅣ
사다리: ㅅㅏㄷㅏㄹㅣ
사무소: ㅅㅏㅁㅜㅅㅗ
사우나: ㅅㅏㅇㅜㄴㅏ
사유서: ㅅㅏㅇㅠㅅㅓ
사유지: ㅅㅏㅇㅠㅈㅣ
사이다: ㅅㅏㅇㅣㄷㅏ
사이비: ㅅㅏㅇㅣㅂㅣ
사이즈: ㅅㅏㅇㅣㅈㅡ
사이트: ㅅㅏㅇㅣㅌㅡ
사투리: ㅅㅏㅌㅜㄹㅣ
서비스: ㅅㅓㅂㅣㅅㅡ
서사시: ㅅㅓㅅㅏㅅㅣ
서수사: ㅅㅓㅅㅜㅅㅏ
서커스: ㅅㅓㅋㅓㅅㅡ
소고기: ㅅㅗㄱㅗㄱㅣ
소규모: ㅅㅗㄱㅠㅁㅗ
소나기: ㅅㅗㄴㅏㄱㅣ
소나무: ㅅㅗㄴㅏㅁㅜ
소나타: ㅅㅗㄴㅏㅌㅏ
소다수: ㅅㅗㄷㅏㅅㅜ
소도구: ㅅㅗㄷㅗㄱㅜ
소도시: ㅅㅗㄷㅗㅅㅣ
소비자: ㅅㅗㅂㅣㅈㅏ
소수파: ㅅㅗㅅㅜㅍㅏ
소시지: ㅅㅗㅅㅣㅈㅣ
