강의: ㄱㅏㅇㅇㅡㅣ
강적: ㄱㅏㅇㅈㅓㄱ
강점: ㄱㅏㅇㅈㅓㅁ
강정: ㄱㅏㅇㅈㅓㅇ
강제: ㄱㅏㅇㅈㅓㅣ
강좌: ㄱㅏㅇㅈㅗㅏ
강진: ㄱㅏㅇㅈㅣㄴ
강짜: ㄱㅏㅇㅈㅈㅏ
강철: ㄱㅏㅇㅊㅓㄹ
강촌: ㄱㅏㅇㅊㅗㄴ
강탈: ㄱㅏㅇㅌㅏㄹ
강판: ㄱㅏㅇㅍㅏㄴ
강평: ㄱㅏㅇㅍㅕㅇ
강폭: ㄱㅏㅇㅍㅗㄱ
강풍: ㄱㅏㅇㅍㅜㅇ
강화: ㄱㅏㅇㅎㅗㅏ
갖신: ㄱㅏㅈㅅㅣㄴ
갖옷: ㄱㅏㅈㅇㅗㅅ
개각: ㄱㅏㅣㄱㅏㄱ
개간: ㄱㅏㅣㄱㅏㄴ
개강: ㄱㅏㅣㄱㅏㅇ
개개: ㄱㅏㅣㄱㅏㅣ
개국: ㄱㅏㅣㄱㅜㄱ
개근: ㄱㅏㅣㄱㅡㄴ
개념: ㄱㅏㅣㄴㅕㅁ
개띠: ㄱㅏㅣㄷㄷㅣ
개략: ㄱㅏㅣㄹㅑㄱ
개량: ㄱㅏㅣㄹㅑㅇ
개론: ㄱㅏㅣㄹㅗㄴ
개막: ㄱㅏㅣㅁㅏㄱ
개명: ㄱㅏㅣㅁㅕㅇ
개발: ㄱㅏㅣㅂㅏㄹ
개밥: ㄱㅏㅣㅂㅏㅂ
개방: ㄱㅏㅣㅂㅏㅇ
개벽: ㄱㅏㅣㅂㅕㄱ
개변: ㄱㅏㅣㅂㅕㄴ
개별: ㄱㅏㅣㅂㅕㄹ
개봉: ㄱㅏㅣㅂㅗㅇ
개선: ㄱㅏㅣㅅㅓㄴ
개설: ㄱㅏㅣㅅㅓㄹ
개성: ㄱㅏㅣㅅㅓㅇ
개신: ㄱㅏㅣㅅㅣㄴ
개심: ㄱㅏㅣㅅㅣㅁ
개악: ㄱㅏㅣㅇㅏㄱ
개암: ㄱㅏㅣㅇㅏㅁ
개업: ㄱㅏㅣㅇㅓㅂ
개연: ㄱㅏㅣㅇㅕㄴ
개울: ㄱㅏㅣㅇㅜㄹ
개인: ㄱㅏㅣㅇㅣㄴ
개입: ㄱㅏㅣㅇㅣㅂ
개작: ㄱㅏㅣㅈㅏㄱ
개장: ㄱㅏㅣㅈㅏㅇ
개재: ㄱㅏㅣㅈㅏㅣ
개전: ㄱㅏㅣㅈㅓㄴ
개점: ㄱㅏㅣㅈㅓㅁ
개정: ㄱㅏㅣㅈㅓㅇ
개종: ㄱㅏㅣㅈㅗㅇ
개중: ㄱㅏㅣㅈㅜㅇ
개진: ㄱㅏㅣㅈㅣㄴ
개집: ㄱㅏㅣㅈㅣㅂ
개찰: ㄱㅏㅣㅊㅏㄹ
개창: ㄱㅏㅣㅊㅏㅇ
개척: ㄱㅏㅣㅊㅓㄱ
개천: ㄱㅏㅣㅊㅓㄴ
개체: ㄱㅏㅣㅊㅓㅣ
개최: ㄱㅏㅣㅊㅗㅣ
개축: ㄱㅏㅣㅊㅜㄱ
개칭: ㄱㅏㅣㅊㅣㅇ
개탄: ㄱㅏㅣㅌㅏㄴ
개털: ㄱㅏㅣㅌㅓㄹ
개통: ㄱㅏㅣㅌㅗㅇ
개판: ㄱㅏㅣㅍㅏㄴ
개펄: ㄱㅏㅣㅍㅓㄹ
개편: ㄱㅏㅣㅍㅕㄴ
개평: ㄱㅏㅣㅍㅕㅇ
개폐: ㄱㅏㅣㅍㅕㅣ
개학: ㄱㅏㅣㅎㅏㄱ
개항: ㄱㅏㅣㅎㅏㅇ
개헌: ㄱㅏㅣㅎㅓㄴ
개혁: ㄱㅏㅣㅎㅕㄱ
개화: ㄱㅏㅣㅎㅗㅏ
개회: ㄱㅏㅣㅎㅗㅣ
객기: ㄱㅏㅣㄱㄱㅣ
객사: ㄱㅏㅣㄱㅅㅏ
객주: ㄱㅏㅣㄱㅈㅜ
객지: ㄱㅏㅣㄱㅈㅣ
객차: ㄱㅏㅣㄱㅊㅏ
갯가: ㄱㅏㅣㅅㄱㅏ
갱도: ㄱㅏㅣㅇㄷㅗ
갱지: ㄱㅏㅣㅇㅈㅣ
갹출: ㄱㅑㄱㅊㅜㄹ
거액: ㄱㅓㅇㅏㅣㄱ
거행: ㄱㅓㅎㅏㅣㅇ
걱정: ㄱㅓㄱㅈㅓㅇ
건강: ㄱㅓㄴㄱㅏㅇ
건곤: ㄱㅓㄴㄱㅗㄴ
건국: ㄱㅓㄴㄱㅜㄱ
건군: ㄱㅓㄴㄱㅜㄴ
건달: ㄱㅓㄴㄷㅏㄹ
건립: ㄱㅓㄴㄹㅣㅂ
건물: ㄱㅓㄴㅁㅜㄹ
건반: ㄱㅓㄴㅂㅏㄴ
건방: ㄱㅓㄴㅂㅏㅇ
건배: ㄱㅓㄴㅂㅏㅣ
건설: ㄱㅓㄴㅅㅓㄹ
건성: ㄱㅓㄴㅅㅓㅇ
건식: ㄱㅓㄴㅅㅣㄱ
건의: ㄱㅓㄴㅇㅡㅣ
건재: ㄱㅓㄴㅈㅏㅣ
건전: ㄱㅓㄴㅈㅓㄴ
건축: ㄱㅓㄴㅊㅜㄱ
건평: ㄱㅓㄴㅍㅕㅇ
걸레: ㄱㅓㄹㄹㅓㅣ
걸상: ㄱㅓㄹㅅㅏㅇ
걸쇠: ㄱㅓㄹㅅㅗㅣ
걸식: ㄱㅓㄹㅅㅣㄱ
걸신: ㄱㅓㄹㅅㅣㄴ
걸음: ㄱㅓㄹㅇㅡㅁ
걸인: ㄱㅓㄹㅇㅣㄴ
걸작: ㄱㅓㄹㅈㅏㄱ
검문: ㄱㅓㅁㅁㅜㄴ
검불: ㄱㅓㅁㅂㅜㄹ
검산: ㄱㅓㅁㅅㅏㄴ
검술: ㄱㅓㅁㅅㅜㄹ
검안: ㄱㅓㅁㅇㅏㄴ
검약: ㄱㅓㅁㅇㅑㄱ
검역: ㄱㅓㅁㅇㅕㄱ
검열: ㄱㅓㅁㅇㅕㄹ
